signo,"[2, 1, 0]"
ciertos,"[10, 0, 2]"
caracteres,"[2, 1, 0]"
energicos,"[2, 0, 1]"
colera,"[2, 0, 3]"
afirmaban,"[1, 0, 2]"
creencia,"[1, 0, 0]"
marcial,"[4, 0, 0]"
parecia,"[29, 10, 33]"
comun,"[1, 1, 0]"
sagrado,"[4, 1, 0]"
monjas,"[4, 0, 1]"
alguno,"[6, 1, 3]"
revolucionarios,"[10, 0, 0]"
arrepentidos,"[1, 0, 0]"
ahora,"[45, 31, 28]"
subido,"[2, 3, 2]"
consideracion,"[4, 2, 1]"
mentalmente,"[2, 0, 1]"
impulsaba,"[1, 0, 0]"
mostrarse,"[3, 0, 1]"
friamente,"[1, 0, 0]"
amable,"[3, 0, 0]"
contestar,"[2, 0, 0]"
insolente,"[1, 0, 3]"
sequedad,"[1, 0, 0]"
guardaba,"[5, 0, 4]"
siempre,"[50, 20, 34]"
impios,"[3, 0, 0]"
permiso,"[1, 5, 0]"
usted,"[261, 1, 27]"
entretanto,"[2, 1, 0]"
puede,"[37, 14, 5]"
descansar,"[1, 3, 0]"
largo,"[16, 5, 6]"
silencio,"[3, 2, 8]"
transcurrido,"[1, 3, 1]"
palabras,"[60, 49, 8]"
recibio,"[4, 0, 3]"
contesto,"[7, 14, 1]"
tomado,"[3, 3, 3]"
resolvio,"[1, 3, 0]"
moverse,"[2, 0, 0]"
practicar,"[1, 0, 0]"
algun,"[35, 12, 11]"
sondeo,"[1, 0, 0]"
calificaba,"[1, 0, 0]"
nombre,"[31, 30, 11]"
tendre,"[2, 2, 0]"
anunciar,"[4, 0, 0]"
vendra,"[3, 2, 0]"
asuntos,"[10, 5, 1]"
ninguna,"[11, 11, 1]"
señorita,"[14, 0, 1]"
estan,"[11, 6, 3]"
maria,"[5, 0, 0]"
alvarez,"[4, 0, 0]"
sorpresa,"[9, 0, 3]"
mirando,"[13, 1, 4]"
fijamente,"[6, 0, 3]"
tomando,"[5, 3, 2]"
compungido,"[2, 0, 0]"
quiros,"[4, 0, 0]"
condesa,"[19, 0, 2]"
transfiguro,"[1, 0, 0]"
habitual,"[3, 0, 0]"
franca,"[2, 1, 0]"
trocose,"[1, 0, 1]"
reconcentrada,"[1, 0, 0]"
temblona,"[2, 0, 0]"
callo,"[4, 15, 0]"
comprendiera,"[1, 0, 0]"
ridiculo,"[6, 0, 1]"
resultaba,"[6, 0, 3]"
discutir,"[2, 0, 0]"
apellidos,"[1, 0, 0]"
perdiendo,"[1, 0, 1]"
tiempo,"[63, 24, 14]"
precioso,"[1, 0, 0]"
anuncie,"[1, 1, 0]"
inmediatamente,"[21, 26, 1]"
